Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
514a,,,,,,-114.00870643,46.6782444,1174.892,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
515a,,,,,,-114.00863389,46.6782425,1175.515,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
518a,,,,,,-114.00841626,46.6782368,1177.253,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
519a,,,,,,-114.00834372,46.6782349,1177.808,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
521a,,,,,,-114.00892131,46.67830002,1173.71,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
522a,,,,,,-114.00884876,46.67829812,1174.279,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
523a,,,,,,-114.00877622,46.67829622,1174.993,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
524a,,,,,,-114.00870368,46.67829432,1175.688,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
526a,,,,,,-114.00855859,46.67829053,1176.912,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
528a,,,,,,-114.0084135,46.67828673,1178.057,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
529a,,,,,,-114.00834096,46.67828483,1178.573,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
531a,,,,,,-114.00891855,46.67834995,1174.177,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
533a,,,,,,-114.00877346,46.67834615,1175.833,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
534a,,,,,,-114.00870092,46.67834425,1176.759,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
535a,,,,,,-114.00862838,46.67834236,1177.234,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
536a,,,,,,-114.00855583,46.67834046,1177.679,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
537a,,,,,,-114.00848329,46.67833856,1178.237,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
539a,,,,,,-114.0083382,46.67833476,1179.419,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
540a,,,,,,-114.00826566,46.67833286,1180.193,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
541a,,,,,,-114.00891579,46.67839988,1174.424,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
542a,,,,,,-114.00884325,46.67839798,1175.273,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
543a,,,,,,-114.0087707,46.67839608,1176.433,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
545a,,,,,,-114.00862562,46.67839228,1178.003,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
548a,,,,,,-114.00840799,46.67838659,1179.688,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
549a,,,,,,-114.00833544,46.67838469,1180.628,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
550a,,,,,,-114.0082629,46.67838279,1181.263,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
551a,,,,,,-114.00891303,46.67844981,1174.675,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
552a,,,,,,-114.00884049,46.67844791,1175.463,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
553a,,,,,,-114.00876795,46.67844601,1176.463,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
554a,,,,,,-114.0086954,46.67844411,1177.444,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
555a,,,,,,-114.00862286,46.67844221,1178.196,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
556a,,,,,,-114.00855032,46.67844032,1178.643,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
557a,,,,,,-114.00847777,46.67843842,1179.423,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
558a,,,,,,-114.00840523,46.67843652,1180.627,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
559a,,,,,,-114.00833269,46.67843462,1181.602,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
560a,,,,,,-114.00826014,46.67843272,1182.503,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
563a,,,,,,-114.00876519,46.67849594,1176.462,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
564a,,,,,,-114.00869264,46.67849404,1177.458,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
565a,,,,,,-114.0086201,46.67849214,1178.149,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
566a,,,,,,-114.00854756,46.67849025,1178.831,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
567a,,,,,,-114.00847501,46.67848835,1179.696,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
568a,,,,,,-114.00840247,46.67848645,1181.087,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
569a,,,,,,-114.00832993,46.67848455,1182.246,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
570a,,,,,,-114.00825738,46.67848265,1183.309,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
571a,,,,,,-114.00890752,46.67854967,1174.618,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
573a,,,,,,-114.00876243,46.67854587,1176.366,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
574a,,,,,,-114.00868989,46.67854397,1177.292,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
575a,,,,,,-114.00861734,46.67854207,1178.233,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
577a,,,,,,-114.00847226,46.67853828,1180.121,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
578a,,,,,,-114.00839971,46.67853638,1181.38,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
579a,,,,,,-114.00832717,46.67853448,1182.61,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
580a,,,,,,-114.00825463,46.67853258,1183.676,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
581a,,,,,,-114.00890476,46.67859959,1174.715,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
583a,,,,,,-114.00875967,46.6785958,1176.391,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
584a,,,,,,-114.00868713,46.6785939,1177.27,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
585a,,,,,,-114.00861459,46.678592,1178.179,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
587a,,,,,,-114.0084695,46.67858821,1180.113,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
588a,,,,,,-114.00839695,46.67858631,1181.451,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
589a,,,,,,-114.00832441,46.67858441,1182.563,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
592a,,,,,,-114.00882946,46.67864763,1175.413,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
593a,,,,,,-114.00875691,46.67864573,1176.288,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
594a,,,,,,-114.00868437,46.67864383,1177.317,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
598a,,,,,,-114.0083942,46.67863624,1181.592,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
599a,,,,,,-114.00832165,46.67863434,1182.622,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
600a,,,,,,-114.00824911,46.67863244,1183.565,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
601a,,,,,,-114.01304243,46.67470766,1115.091,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
603a,,,,,,-114.01289735,46.67470387,1115.443,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
605a,,,,,,-114.01275228,46.67470008,1116.018,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
606a,,,,,,-114.01267974,46.67469818,1116.198,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
609a,,,,,,-114.01246212,46.67469249,1116.924,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
610a,,,,,,-114.01238958,46.6746906,1117.216,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
901a,,,,,,-114.01284416,46.67830259,1112.45,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
902a,,,,,,-114.01277161,46.67830069,1113.324,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
903a,,,,,,-114.01269907,46.67829879,1114.462,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
904a,,,,,,-114.01262653,46.6782969,1115.89,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
906a,,,,,,-114.01248144,46.67829311,1118.165,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
907a,,,,,,-114.0124089,46.67829121,1119.368,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
908a,,,,,,-114.01233635,46.67828932,1120.734,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
909a,,,,,,-114.01226381,46.67828742,1121.624,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
911a,,,,,,-114.0128414,46.67835251,1112.38,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
912a,,,,,,-114.01276886,46.67835062,1113.375,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
913a,,,,,,-114.01269632,46.67834872,1114.373,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
914a,,,,,,-114.01262377,46.67834683,1115.716,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
915a,,,,,,-114.01255123,46.67834493,1116.854,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
916a,,,,,,-114.01247869,46.67834304,1118.06,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
917a,,,,,,-114.01240614,46.67834114,1119.451,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
918a,,,,,,-114.0123336,46.67833924,1120.653,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
919a,,,,,,-114.01226106,46.67833735,1121.677,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
921a,,,,,,-114.01283865,46.67840244,1112.443,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
922a,,,,,,-114.01276611,46.67840055,1113.337,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
923a,,,,,,-114.01269356,46.67839865,1114.474,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
925a,,,,,,-114.01254848,46.67839486,1116.885,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
926a,,,,,,-114.01247593,46.67839297,1117.998,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
927a,,,,,,-114.01240339,46.67839107,1119.279,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
928a,,,,,,-114.01233084,46.67838917,1120.571,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
929a,,,,,,-114.0122583,46.67838728,1121.662,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
930a,,,,,,-114.01218576,46.67838538,1122.509,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
931a,,,,,,-114.0128359,46.67845237,1112.46,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
932a,,,,,,-114.01276335,46.67845048,1113.312,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
933a,,,,,,-114.01269081,46.67844858,1114.421,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
934a,,,,,,-114.01261827,46.67844669,1115.484,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
935a,,,,,,-114.01254572,46.67844479,1116.767,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
936a,,,,,,-114.01247318,46.6784429,1118.032,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
937a,,,,,,-114.01240063,46.678441,1119.164,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
938a,,,,,,-114.01232809,46.6784391,1120.602,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
939a,,,,,,-114.01225555,46.67843721,1121.607,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
940a,,,,,,-114.012183,46.67843531,1122.509,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
941a,,,,,,-114.01283314,46.6785023,1112.505,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
942a,,,,,,-114.0127606,46.67850041,1113.494,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
943a,,,,,,-114.01268805,46.67849851,1114.35,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
944a,,,,,,-114.01261551,46.67849662,1115.567,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
945a,,,,,,-114.01254297,46.67849472,1116.637,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
946a,,,,,,-114.01247042,46.67849283,1117.917,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
947a,,,,,,-114.01239788,46.67849093,1119.079,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
948a,,,,,,-114.01232534,46.67848903,1120.503,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
949a,,,,,,-114.01225279,46.67848714,1121.693,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
950a,,,,,,-114.01218025,46.67848524,1122.503,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
951a,,,,,,-114.01283039,46.67855223,1112.459,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
952a,,,,,,-114.01275784,46.67855034,1113.456,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
953a,,,,,,-114.0126853,46.67854844,1114.369,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
954a,,,,,,-114.01261276,46.67854655,1115.5,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
955a,,,,,,-114.01254021,46.67854465,1116.697,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
956a,,,,,,-114.01246767,46.67854275,1117.827,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
957a,,,,,,-114.01239513,46.67854086,1119.101,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
959a,,,,,,-114.01225004,46.67853707,1121.603,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
960a,,,,,,-114.01217749,46.67853517,1122.475,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
961a,,,,,,-114.01282763,46.67860216,1112.575,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
962a,,,,,,-114.01275509,46.67860027,1113.453,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
963a,,,,,,-114.01268255,46.67859837,1114.461,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
964a,,,,,,-114.01261,46.67859648,1115.463,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
965a,,,,,,-114.01253746,46.67859458,1116.655,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
966a,,,,,,-114.01246491,46.67859268,1117.711,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
967a,,,,,,-114.01239237,46.67859079,1119.046,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
968a,,,,,,-114.01231983,46.67858889,1120.379,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
969a,,,,,,-114.01224728,46.678587,1121.545,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
971a,,,,,,-114.01282488,46.67865209,1112.55,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
972a,,,,,,-114.01275234,46.6786502,1113.58,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
973a,,,,,,-114.01267979,46.6786483,1114.458,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
974a,,,,,,-114.01260725,46.67864641,1115.564,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
975a,,,,,,-114.0125347,46.67864451,1116.646,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
976a,,,,,,-114.01246216,46.67864261,1117.833,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
977a,,,,,,-114.01238962,46.67864072,1118.932,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
978a,,,,,,-114.01231707,46.67863882,1120.303,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
979a,,,,,,-114.01224453,46.67863693,1121.469,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
980a,,,,,,-114.01217198,46.67863503,1122.543,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
981a,,,,,,-114.01282213,46.67870202,1112.564,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
982a,,,,,,-114.01274958,46.67870013,1113.592,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
983a,,,,,,-114.01267704,46.67869823,1114.491,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
985a,,,,,,-114.01253195,46.67869444,1116.591,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
986a,,,,,,-114.01245941,46.67869254,1117.826,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
987a,,,,,,-114.01238686,46.67869065,1119.055,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
988a,,,,,,-114.01231432,46.67868875,1120.276,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
991a,,,,,,-114.01281937,46.67875195,1112.708,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
992a,,,,,,-114.01274683,46.67875006,1113.586,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
993a,,,,,,-114.01267428,46.67874816,1114.561,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
994a,,,,,,-114.01260174,46.67874626,1115.56,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
995a,,,,,,-114.0125292,46.67874437,1116.735,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
996a,,,,,,-114.01245665,46.67874247,1117.77,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
997a,,,,,,-114.01238411,46.67874058,1119.06,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
998a,,,,,,-114.01231156,46.67873868,1120.281,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
999a,,,,,,-114.01223902,46.67873679,1121.583,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
1000a,,,,,,-114.01216648,46.67873489,1122.732,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
5a,,,,,,-114.01001685,46.67687863,1133.855,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
6a,,,,,,-114.00994431,46.67687674,1134.446,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
8a,,,,,,-114.00979923,46.67687294,1134.814,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
11a,,,,,,-114.01030426,46.67693615,1130.979,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
12a,,,,,,-114.01023172,46.67693425,1131.553,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
18a,,,,,,-114.00979647,46.67692287,1135.933,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
20a,,,,,,-114.00965139,46.67691908,1137.263,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
21a,,,,,,-114.01030151,46.67698608,1131.148,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
23a,,,,,,-114.01015642,46.67698229,1132.684,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
24a,,,,,,-114.01008388,46.67698039,1133.527,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
25a,,,,,,-114.01001134,46.67697849,1134.222,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
26a,,,,,,-114.0099388,46.6769766,1134.864,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
30a,,,,,,-114.00964863,46.67696901,1137.544,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
33a,,,,,,-114.01015367,46.67703222,1132.967,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
34a,,,,,,-114.01008113,46.67703032,1133.844,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
35a,,,,,,-114.01000858,46.67702842,1134.466,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
36a,,,,,,-114.00993604,46.67702652,1135.073,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
38a,,,,,,-114.00979096,46.67702273,1136.391,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
